barcode,product_name,brand,generic_ingredient_name,categories,ingredients_text,allergens,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,protein_100g,salt_100g,fiber_100g,nutrition_score
6111266962187,Lait de la ferme jaouda,Jaouda,milk,"Meals, Semi-skimmed milks",Lait frais pasteurisé demi écrémé à 15g/l de matière grasse,milk,b,45.0,1.5,1.0,4.9,0.0,3.1,0.225,,1.0
6111242101180,uht jaouda 1L,Jaouda,milk,"Cow milks, Whole milk UHT",Lait entier,milk,b,58.0,3.0,,4.8,0.0,3.0,0.0,,1.0
6111242100817,Le Lait demi écrémé,Jaouda,milk,"Semi-skimmed milks, UHT Milks, Cow milks","جودة حليب طبيعي نصف الدسم معقم يحتوي على 15 ال من المواد الدهنية المكونات حليب نصف الدسم حليب من مزرعة جودة حليب UHT جودة خالص لا يحتوي على مواد حافظة. يتم الإحتفاظ به 6 أشهر خارج الثلاجة لأنه : يخضع لمعالجة حرارية UHT (درجة حرارة جد مرتفعة) و التي تقضي على الكائنات المجهرية. يعبأ في علبة معقمة مكونة من 6 طبقات تحميه من كل تلوث خارجي. Le lait UHT Jaouda ne contient pas de conservateurs. Si le lait UHT se conserve à température ambiante pendagt 6 mois, c'est parce que: - 1l subit un traitement th",,b,45.0,1.5,1.0,4.9,0.0,3.1,0.0,,1.0
8420756010320,kéfir nature,Reina,milk,"Milks, Kefir","حليب, حليب نصف منزوع الدسم, قشطة الحليب, تخمير الكفير, الخمائر اللبنية, فيتامين B6, فيتامين B12",milk,b,48.0,1.5,1.0,4.7,4.7,3.4,0.13,,1.0
6111032000600,Salim,Salim,milk,Milks,gluten free,,unknown,58.0,3.0,2.0,4.8,,3.0,,,1.0
6111242101050,LBEN CARTON PASTEURISER,Jaouda,milk,"Milks, Plain fermented skimmed milk drink","Lait frais partiellement écrémé, ferments lactiques.matière grasse 14g/L",milk,b,45.0,1.3,0.9,4.8,0.0,3.2,0.0,,1.0
6111250470742,Lait U.H.T entier,Dost,milk,"UHT Milks, Whole milks, Cow milks",lait,milk,b,58.0,3.0,,4.8,0.0,3.0,0.0,,1.0
6111126003821,Lait Frais 15 jours,Chergui,milk,"Fresh milks, Pasteurised milks, Cow milks",lait entier pasteurisé,milk,b,57.2078065492704,2.90887151945442,1.61603973303024,4.75115681510889,4.75115681510889,3.00583390343624,0.0861887857616126,,1.0
6111242100206,Yaourt nature,Jaouda,yogurt,Plain yogurts,"lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné",milk,b,78.5,3.3,2.4,8.0,0.0,4.2,0.0,,1.0
6111242100305,jaouda Cremy,jaouda,yogurt,Yogurts,"Lait frais, sucre, poudre de lait écrémé, texturant : amidon, crème, arôme, ferments lactiques sélectionnés, matière grasse 3%",milk,a,109.0,3.0,0.4,16.9,2.0,3.6,0.0,,1.0
6111032001003,Assil vanille,Danone,yogurt,Yogurts,"ليوغور م.د,%2. مصنوع إخط قد يمكن أن يحتوي على الگلوتين، الجوز والبندق. 2.",,c,95.5,2.7,1.8,14.0,8.0,3.4,0.0,2.0,1.0
6111266963207,كيفير,Jaouda,yogurt,"Yogurts, Kefir","Lait frais partiellement écrémé, ferments du kéfir et ferments du yaourt et bifidobacterium",milk,b,53.6,2.5,1.8,4.8,0.0,3.0,0.0,,1.0
6111032006619,Jamila رايبي,Danone,yogurt,"Fruit yogurts, Yogurt drinks","Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",milk,e,72.0,1.7,1.1,12.4,9.0,1.9,0.0,,1.0
6111032001010,DANONE ASSIL BANANE,Danone,yogurt,"Yogurts, produits-fermentés, produits-laitiers-fermentés","يوغورت عاقد - ا سکر. قشدة، زبدة، نكهة، خمائر حليبية لليوغورت. م. د: %1.80 مصنوع ف خط قد يمكن أن يحتوي على الكلوتين و الفستوه رقم الاعتماد الصحي 0NSSA ؛ 2.1,13 LPL الوزن الصافي : 10 لمكونات حليب بدون قشدة، مسحوق الحليب بدون قشدة تصنوع خط قد 4e ستطرال - دانون - طريق قنيطردره تارية الإفتاج - تاريخ ادتهاء انعز وع 6با علي لا عو ر ek TT10322 OO TO",,c,95.0,2.7,1.8,0.0,14.3,3.4,0.1,,1.0
6111242103702,Yaourt Grec Muesli,Jaouda,yogurt,"Sheep milk yogurts, Greek-style yogurts","Lait frais, crème, poudre lait, sucre, amidon, préparation de céréales et de fruits secs (amandes, noix, miel, raisins secs, blé, avoine, seigle), ferments lactiques, arômes Matière grasse: 7%",gluten milk nuts,c,140.0,7.0,4.0,16.1,9.0,3.3,0.0,,1.0
8424893600352,kéfir 500g,Reina,yogurt,"Yogurts, Kefir",اكتشـ عالم الكفير غني بالبروتين الوزن الصافي: 回 W: 12 500جم e الحليب المخمر الطبيعي المكونات: :العربية: حليب شبه منزوع الفيتامينات 812 العربية: يحتوي على الملايين من البروبيوتيك الطبيعي ويحتوي على 16 سلالة مختلفة من الثقافات الحية المختارة من خمائر الكفير والخمائر التركيبة الغذائية قيمة الطاقة الدسم قشدة المبستر ، تخمير دهون (جم) الكفير الخمائر اللبنية الخمائر، فيتامين B12 وفيتامين B6 بلد منشأ الحليب الاتحاد الأوروبي. بلد التحول إسبانيا 6 (كيلو) جول كيلو كالوري) منها مُشبعة (جم) كربوهيدرات (جم) ,,c,75.0,4.2,2.8,5.5,5.5,3.9,0.15,,1.0
3487400006745,Riz tomate à l’italienne,Ben's Original,rice,"Rice dishes, Rices","Riz long grain étuvé à la vapeur (78%), double concentré de purée de tomate (12%), fromage mascarpone (lait) (4,8%), huile de tournesol, oignons en poudre, sel, arôme naturel, ail en poudre, épice.",milk,c,181.818181818182,5.0,1.4,29.0,1.8,4.0,0.49,1.6,1.0
3760341070472,Taureau Ailé - Le Basmati du Penjab,Taureau Ailé,rice,White Basmati rices,Riz Basmati long grain,,b,353.0,0.8,0.2,78.0,0.2,8.1,0.01,0.9,1.0
3487400006721,Riz Basmati,Ben's Original,rice,"Basmati rices, Precooked rices","Riz basmati précuit à la vapeur (98%), huile de tournesol. 21",,b,141.818181818182,1.6,0.1,29.0,0.5,3.1,0.01,0.5,1.0
3564700444207,Riz complet,Marque Repère,rice,"Long grain rices, Brown rices, Parboiled rices",Riz long complet étuvé de qualité supérieure.,,b,360.0,2.6,0.5,75.0,0.5,7.7,0.0,2.9,1.0
3560070510771,Riz Complet,Carrefour,rice,"Long grain rices, Brown rices, fr:Riz long grain complet",Riz long grain complet étuvé de qualité supérieure.,,b,351.0,2.8,0.7,72.0,0.5,7.9,0.01,3.9,1.0
3760341070540,Le Thaï du Plateau de l'i-san pure origine,Taureau Ailé,rice,Jasmine rice,Riz thaï long grain.,,b,353.0,0.8,0.2,78.0,0.2,8.1,0.01,0.9,1.0
4056489095736,Bio Basmati Reis,Golden Sun,rice,White Basmati rices,Reis,,b,358.0,1.1,0.3,78.0,0.5,8.6,0.01,1.0,1.0
8410184040747,Sabroz arroz integral,Sabroz,rice,"Brown rices, Short grain rices, Precooked rices","Arroz integral cocido 98% (agua, arroz integral), aceite de girasol, sal, emulgente (lecitina de girasol).",,b,131.2,2.2,0.4,31.0,0.5,3.8,0.295,2.8,1.0
3760049790214,Pain De Mie Bio,La Boulangère,bread,"Packaged breads, Wholemeal sliced breads","wheat flour* 44%, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, ascorbic acid, possible traces of soy",gluten,c,268.0,4.2,0.4,47.0,6.3,8.1,1.1,4.9,1.0
3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,la Boulangère,bread,Sliced breads,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.",gluten,a,294.117647058823,9.6,1.0,37.0,4.2,12.0,0.96,7.2,1.0
3228857002344,Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,bread,"Frozen breads, Wholemeal sliced breads","Farine complète de BLÉ 39,3%, eau, farine de BLÉ 26,7%, huile de colza, fibre de chicorée, arôme (contient alcool), sel, vinaigre, farine de SEIGLE maltée, levure, gluten de BLÉ, levure désactivée, extrait d'acérola. Peut contenir des traces d'OEUFS, SOJA, LAIT, FRUITS À COQUE et GRAINES DE SÉSAME.",gluten,b,280.0,6.8,0.5,43.0,3.6,7.7,1.1,8.1,1.0
7311070032611,KRISPROLLS Complets,KRISPROLLS,bread,"Rusks, Toasted bread rolls, fr:Petit pain grillé suédois sans sucre, fr:Petit-pain-suedois-sans-sucre","Farine de blé complet* (62%), farine de blé*, huile de colza*, huile de colza totalement hydrogénée, malt d'orge, levure, sel.",gluten,a,400.0,6.6,0.9,68.0,1.1,13.0,1.1,8.3,1.0
3029330022428,14 Maxi Tranches complet sans sucres ajoutés,Jacquet,bread,Wholemeal sliced breads,"Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colga, Levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Contient des sucres naturellement présents. Une recette sans huile de palme pour des pains de mie moelleux. Con vient à un régime végétalien. pour 1 portion %AR* pour (1 tranche ÉTIQUETAGE NUTRITIONNEL 100 g par =39,3g) portion 410 97 f Valeur 1020 kJ énergétique",gluten,a,264.0,5.2,0.4,42.0,2.9,8.5,1.1,7.5,1.0
3760049794298,Pain de mie Bio grandes tranches céréales & graines 500g,La Boulangère Bio,cereal,"Multigrain sliced breads, Packaged breads","Farine de BLE*/** 51%, eau, levain de BLE */** et de SEIGLE * 9,6%, huile de tournesol*/** 4,4%, sucre de canne roux*, levure, graines de tournesol décortiquées* 3,3%, graines de lin brun* 2,7%, flocons de BLE* 2,7%, farine de SEIGLE* 1,6%, graines de millet décortiquées* 1,6%, gluten de BLE*, sel, arôme naturel* (contient alcool*), farine d'ORGE maltée torréfiée* 0,2%. Traces éventuelles de soja, moutarde et graines de sésame. * Ingrédients issus de l'Agriculture Biologique. ** Ingrédients issu",gluten,c,303.0,8.3,0.8,46.0,5.1,8.6,1.1,5.1,1.0
7300400481595,AUTHENTIQUE,wasa,bread,"Breakfasts, Crisps, Rusks, Crispbreads, fr:Pain croquant","Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",gluten,a,336.0,1.5,0.4,62.0,1.0,9.0,1.0,19.0,1.0
7300400481588,Fibres,wasa,bread,"Crisps, Crispbreads (wholemeal), Extruded and grilled crispbread","Farine complète de SEIGLE 59 g*, son de BLÉ 27 g*, flocons d'AVOINE 12 g*, GRAINES DE SÉSAME 7,0 g*, germe de BLÉ, sel. *en g pour 100 g de produit fini. Peut contenir des traces de LUPIN, LAIT, MOUTARDE et SOJA.",gluten sesame seeds,a,333.0,5.0,1.0,47.0,2.0,12.0,1.2,26.0,1.0
6111184004730,Ketchup star 310 g,Star,ketchup star 310 g,"Ketchup, Groceries",نشا: مشخن المائدة، خل الطماطلخ مركز سكر، ماء، المکونات: وتوابل.حافظة (E202.E211) ملح،مواد معدل,,c,108.0,0.08,,25.7,22.36,1.12,0.00555,,0.8
8445290615350,sauce tomate cuisinée,Solis,tomato sauce,"Tomato sauces, Salsas de tomate frito, salsas-de-tomate-frito","Tomato, tomato concentrate, water, non-hydrogenated sunflower oil, sugar, modified corn starch, salt, natural onion flavor, onion, garlic, white pepper",,c,68.0,0.4,,7.6,4.4,1.6,1.0,2.0,1.0
8715700407760,Tomato Ketchup BIO,Heinz,tomato ketchup bio,Ketchup,"Tomates (180 g pour 100 g de Ketchup), sucre, vinaigre, sel, épices (contient céleri), poudre d'oignon, poudre d'ail,",celery,d,112.0,0.1,0.1,25.3,24.8,1.4,1.7,,0.6000000000000001
6111251753912,611251753912,sos,tomato sauce,Tomato sauces,"PROTEGE Tetra Pak CE QUI EST BON olla المكونات : لب طماطم (160غ لإنتاج 100غ من المنتج) ، زيت عباد الشمس، سكر ، نشا الذرة معدل، ملح، نكهة الخضر. 7% من مواد جافة 

Ingrédients: Purée de tomate (160 g pour produire 100 g de produit), huile de tournesol, sucre, amidon de mais modifié, sel, arôme de légumes. 7% de matières sèches. 

Ingredientes: Puré de tomate (160 g para elaborar 100 g de producto), aceite de girasol, azúcar, almidón modificado de maíz, sal, aroma de verduras. 7% de materia seca. V",,c,73.0,3.3,0.4,8.7,2.3,1.3,0.83,1.4,1.0
6111251753899,Olla,Olla,tomato sauce,Tomato sauces,"Puré de tomate, aceite de girasol, azúcar, almidón modificado de maiz, sal, aroma de verduras.",,c,73.0,3.3,0.3,8.7,2.3,1.3,2.25,1.3,0.8
87157215,Tomato Ketchup,Heinz,tomato ketchup,Tomato Ketchup,"Tomates, vinaigre, sucre, sel, extraits d'épices et d'herbes, céleri, épice.",celery,d,102.0,0.1,,23.2,22.8,1.2,1.8,,0.6000000000000001
8076809513722,Basilico,Barilla,tomato sauce,"Cooking Sauces, Tomato sauces with basil","Pulpe de tomates 72%, concentré de tomates 14%, oignons, huile de tournesol, basilic 2%, sucre, sel, arôme naturel.",,a,64.0,2.6,0.3,7.6,5.9,1.6,0.9,1.9,1.0
8715700423913,Tomato ketchup,Heinz,tomato ketchup,Tomato Ketchup,"Tomates (174 g pour 100 g de Tomato Ketchup), vinaigre d'alcool, sucre, sel, extraits d'épices et d'herbes (céleri), édulcorant (glycosides de stéviol), épice.",celery,c,64.0,0.1,,12.0,11.0,1.4,0.9,,1.0
3017624010701,Nutella,Ferrero,nutella,"Cocoa and hazelnuts spreads, de:Other","sugar, palm oil, hazelnuts, skimmed milk powder, fat reduced cocoa, emulsifier, vanillin.",nuts,e,539.0,30.9,10.6,57.5,56.3,6.3,0.1075,,0.6000000000000001
5000159484695,Twix glacé,Twix,twix glace,"ice creams, Frozen bars","Sucre, sirop de glucose, _lait_ écrémé, crème légère (_lait_), eau, beurre de cacao, matière grasse de noix de coco, _lait_ écrémé concentré sucré, pâte de cacao, farine de _blé_, matière grasse de palme, _lait_ écrémé en poudre, _lactose_, matière grasse du _lait_, huile de palmiste, petit-_lait_ en poudre, cacao maigre, beurre (_lait_), émulsifiants (lécithine de _soja_, E471, tristéarate de sorbitane), _lait_ entier en poudre, stabilisants (E407, E410, E412), arômes naturels (_lait_), sel, co",gluten milk soybeans,e,280.742459396752,14.6171693735499,9.04872389791183,34.8027842227378,25.5220417633411,2.78422273781903,0.255220417633411,,0.6000000000000001
8000500310427,Biscuits NUTELLA Biscuits Noisettes et Cacao x22 - 304g,Nutella biscuits,biscuits nutella biscuits noisettes et cacao x22 - 304g,"Biscuits/Cookies (Shelf Stable), fr:Biscoitos recheados","Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'",gluten milk nuts soybeans,e,515.0,24.8,11.5,64.0,35.8,7.9,0.559,,0.6000000000000001
7622210449283,Prince Goût Chocolat au blé complet,Mondelez,prince gout chocolat au ble complet,"Breakfasts, Sandwich biscuits","Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.",eggs gluten milk soybeans,e,467.0,17.0,5.6,69.0,32.0,6.3,0.49,4.0,0.7000000000000001
5449000000996,Original Taste,Coca-Cola,original taste,"Colas, pt:bebidas cafeína","carbonated water, sugar, colour (caramel e150d), acid (phosphoric acid), natural flavourings, caffeine flavouring,",,e,42.0,0.0,,10.6,10.6,,0.0,,1.0
3017620422003,Nutella,Nutella,nutella,"Confectionary based spreads, Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.",milk nuts soybeans,e,539.0,30.9,10.6,57.5,56.3,6.3,0.107,,0.6000000000000001
3240931548111,Gnocchi à poêler,Lustucru,pasta,"Fresh pasta, Gnocchi of durum wheat semolina, Potato gnocchi, Cooked gnocchis","Purée (eau, pommes de terre déshydratées, épice : curcuma), semoule de BLE, huile de colza et/ou tournesol, sel, farine de BLE. Peut contenir des traces de lait, œufs, soja, moutarde, et gluten provenant d'autres céréales. Conditionné sous atmosphère protectrice.",gluten,c,190.0,2.7,0.3,35.0,1.5,5.0,1.1,2.6,1.0
3240931548135,Lustucru gnocchi a poêler format xxl 720g,Lustucru,lustucru gnocchi a poeler format xxl 720g,"Frozen foods, Gnocchi of durum wheat semolina, Potato gnocchi","Purée (eau, pommes de terre déshydratées, épice : curcuma), semoule de BLE, huile de colza et/ou tournesol, sel, farine de BLE. Peut contenir des traces de lait, œufs, soja, moutarde, et gluten provenant d'autres céréales. Conditionné sous atmosphère protectrice.",gluten,c,184.034416826004,2.7,0.3,35.0,1.5,5.0,1.1,2.6,1.0
8076800195057,Spaghetti N° 5,Barilla,pasta,"Dry durum wheat pasta, Durum wheat spaghetti",DURUM WHEAT SEMOLINA PASTA. May contain traces of soy and mustard.,gluten,a,359.0,2.0,0.5,71.0,3.5,13.0,0.01,3.0,1.0
3240931548128,Lustucru gnocchi a poêler 520g,Lustucru,pasta,"Fresh pasta, Gnocchi of durum wheat semolina, Potato gnocchi","Purée (eau, pommes de terre déshydratées, épice: curcuma), semoule de blé, huile de colza et/ou tournesol, sel, farine de blé",gluten,c,190.0,2.7,0.3,35.0,1.5,5.0,1.1,2.6,1.0
8076809529433,Whole Wheat Penne Rigate,Barilla,pasta,"Dried wholemeal pasta, Durum wheat penne, Durum wheat spaghetti, Penne rigate, Whole durum wheat pasta","Fuldkorns _durumhvede_, Vand",gluten,a,347.0,2.5,0.5,64.0,3.5,13.0,0.01,8.0,1.0
8852018101024,Nouille instantanées goût poulet,yum yum,cereal,"Cereals and their products, Dehydrated soups, Instant noodle soups","Farine de BLE, huile de palme (huile de palme, antioxydant E319), fécule de tapioca, soupe (arôme, exhausteurs de gout E635, extrait de levure), sel, correcteurs d'acidité (E500, E452, E451), épaississant (E466). Condiments : sel, huile de palme (huile de palme, antioxydant E306), légumes (ail et oignon blanc), arôme de poulet, exhausteurs de gout (E621, E635), sucre, épices, épaississant (E415), acidifiant (E296), colorant (e150c)",gluten,c,,,,,,,,,1.0
8076802085738,Penne Rigate No. 73 Durum Wheat Semolina Pasta,Barilla,pasta,"Dry durum wheat pasta, Penne rigate","_Hartweizengrieß_, Wasser.",gluten,a,359.0,2.0,0.5,71.0,3.5,13.0,0.01,3.0,1.0
8076800376999,Lasagne all'uovo,Barilla,pasta,"Durum wheat pasta, Dry egg pastas, Lasagna sheets, fr:Lasagnes à garnir aux œufs","Semola di grano duro, uova fresche di categoria A (19.36%).",eggs gluten,a,368.0,4.0,1.0,68.0,3.0,14.0,0.08,3.0,1.0
6111246721261,Fromage Blanc Nature,Milky Food Professional,cheese,"Cheeses, fr:Fromages blancs natures","Lait de vache pasteurisé, Protéines de lait de vache, Crème de lait de vache, Ferment lactique, Amidon, Epaississant, Sorbate de potassium",milk,c,159.0,11.0,7.15,10.0,4.0,5.0,0.1,,0.8
6111242106949,Jben,Jaouda,cheese,"Cheese spreads, Fromage frais nature à 21%de matière grasse","lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%",milk,d,235.0,21.0,15.0,3.5,0.0,8.0,0.46,,0.8
